Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-04-27 00:00:00-04:00,8.0,8.079999923706055,8.0,8.079999923706055,175,0.0,0.0
2001-04-30 00:00:00-04:00,8.960000038146973,8.960000038146973,7.760000228881836,7.840000152587891,1213,0.0,0.0
2001-05-01 00:00:00-04:00,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,713,0.0,0.0
2001-05-02 00:00:00-04:00,7.599999904632568,8.0,6.800000190734863,6.800000190734863,1100,0.0,0.0
2001-05-03 00:00:00-04:00,6.800000190734863,6.800000190734863,6.800000190734863,6.800000190734863,0,0.0,0.0
2001-05-04 00:00:00-04:00,7.199999809265137,7.199999809265137,6.880000114440918,6.880000114440918,63,0.0,0.0
2001-05-07 00:00:00-04:00,7.199999809265137,7.199999809265137,6.960000038146973,6.960000038146973,350,0.0,0.0
2001-05-08 00:00:00-04:00,7.199999809265137,7.360000133514404,7.199999809265137,7.360000133514404,525,0.0,0.0
2001-05-09 00:00:00-04:00,7.360000133514404,7.360000133514404,7.360000133514404,7.360000133514404,0,0.0,0.0
2001-05-10 00:00:00-04:00,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,200,0.0,0.0
2001-05-11 00:00:00-04:00,6.880000114440918,8.0,6.880000114440918,8.0,2975,0.0,0.0
2001-05-14 00:00:00-04:00,8.239999771118164,8.239999771118164,8.079999923706055,8.079999923706055,525,0.0,0.0
2001-05-15 00:00:00-04:00,8.079999923706055,8.079999923706055,8.0,8.0,388,0.0,0.0
2001-05-16 00:00:00-04:00,8.0,8.0,7.599999904632568,7.599999904632568,650,0.0,0.0
2001-05-17 00:00:00-04:00,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,325,0.0,0.0
2001-05-18 00:00:00-04:00,7.840000152587891,7.920000076293945,7.679999828338623,7.679999828338623,225,0.0,0.0
2001-05-21 00:00:00-04:00,7.679999828338623,7.920000076293945,7.199999809265137,7.199999809265137,1838,0.0,0.0
2001-05-22 00:00:00-04:00,7.199999809265137,7.199999809265137,6.960000038146973,6.960000038146973,775,0.0,0.0
2001-05-23 00:00:00-04:00,7.039999961853027,7.760000228881836,6.960000038146973,7.039999961853027,1925,0.0,0.0
2001-05-24 00:00:00-04:00,7.039999961853027,7.119999885559082,7.039999961853027,7.119999885559082,188,0.0,0.0
2001-05-25 00:00:00-04:00,7.199999809265137,7.760000228881836,7.119999885559082,7.760000228881836,300,0.0,0.0
2001-05-29 00:00:00-04:00,7.760000228881836,7.760000228881836,7.760000228881836,7.760000228881836,100,0.0,0.0
2001-05-30 00:00:00-04:00,7.760000228881836,7.760000228881836,7.760000228881836,7.760000228881836,0,0.0,0.0
2001-05-31 00:00:00-04:00,7.119999885559082,7.119999885559082,7.119999885559082,7.119999885559082,25,0.0,0.0
2001-06-01 00:00:00-04:00,7.119999885559082,7.119999885559082,7.119999885559082,7.119999885559082,25,0.0,0.0
2001-06-04 00:00:00-04:00,7.199999809265137,7.199999809265137,6.960000038146973,6.960000038146973,800,0.0,0.0
2001-06-05 00:00:00-04:00,6.880000114440918,7.039999961853027,6.800000190734863,7.039999961853027,3838,0.0,0.0
2001-06-06 00:00:00-04:00,6.880000114440918,7.039999961853027,6.880000114440918,7.039999961853027,1363,0.0,0.0
2001-06-07 00:00:00-04:00,6.880000114440918,7.599999904632568,6.880000114440918,7.360000133514404,1650,0.0,0.0
2001-06-08 00:00:00-04:00,7.199999809265137,7.440000057220459,6.639999866485596,6.71999979019165,250,0.0,0.0
2001-06-11 00:00:00-04:00,7.199999809265137,7.199999809265137,6.800000190734863,6.800000190734863,163,0.0,0.0
2001-06-12 00:00:00-04:00,7.360000133514404,7.360000133514404,6.559999942779541,7.199999809265137,250,0.0,0.0
2001-06-13 00:00:00-04:00,6.800000190734863,6.800000190734863,6.800000190734863,6.800000190734863,513,0.0,0.0
2001-06-14 00:00:00-04:00,6.800000190734863,6.800000190734863,6.800000190734863,6.800000190734863,125,0.0,0.0
2001-06-15 00:00:00-04:00,6.400000095367432,6.800000190734863,6.239999771118164,6.800000190734863,863,0.0,0.0
2001-06-18 00:00:00-04:00,6.320000171661377,6.639999866485596,6.320000171661377,6.639999866485596,213,0.0,0.0
2001-06-19 00:00:00-04:00,6.320000171661377,6.400000095367432,6.320000171661377,6.400000095367432,438,0.0,0.0
2001-06-20 00:00:00-04:00,6.320000171661377,6.320000171661377,6.320000171661377,6.320000171661377,150,0.0,0.0
2001-06-21 00:00:00-04:00,6.320000171661377,6.320000171661377,6.239999771118164,6.320000171661377,263,0.0,0.0
2001-06-22 00:00:00-04:00,6.159999847412109,7.199999809265137,6.159999847412109,6.480000019073486,2475,0.0,0.0
2001-06-25 00:00:00-04:00,6.480000019073486,6.480000019073486,6.480000019073486,6.480000019073486,0,0.0,0.0
2001-06-26 00:00:00-04:00,6.400000095367432,7.119999885559082,6.400000095367432,7.119999885559082,338,0.0,0.0
2001-06-27 00:00:00-04:00,6.800000190734863,6.800000190734863,6.800000190734863,6.800000190734863,250,0.0,0.0
2001-06-28 00:00:00-04:00,6.800000190734863,6.800000190734863,6.800000190734863,6.800000190734863,0,0.0,0.0
2001-06-29 00:00:00-04:00,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,50,0.0,0.0
2001-07-02 00:00:00-04:00,6.71999979019165,6.71999979019165,6.400000095367432,6.71999979019165,1000,0.0,0.0
2001-07-03 00:00:00-04:00,6.880000114440918,7.119999885559082,6.880000114440918,6.880000114440918,400,0.0,0.0
2001-07-05 00:00:00-04:00,6.880000114440918,6.880000114440918,6.880000114440918,6.880000114440918,125,0.0,0.0
2001-07-06 00:00:00-04:00,6.71999979019165,6.71999979019165,6.71999979019165,6.71999979019165,75,0.0,0.0
2001-07-09 00:00:00-04:00,6.559999942779541,7.119999885559082,6.559999942779541,7.039999961853027,2863,0.0,0.0
2001-07-10 00:00:00-04:00,7.199999809265137,7.199999809265137,6.480000019073486,6.480000019073486,225,0.0,0.0
2001-07-11 00:00:00-04:00,7.119999885559082,7.119999885559082,7.119999885559082,7.119999885559082,138,0.0,0.0
2001-07-12 00:00:00-04:00,6.239999771118164,6.239999771118164,6.159999847412109,6.159999847412109,138,0.0,0.0
2001-07-13 00:00:00-04:00,6.079999923706055,6.400000095367432,6.079999923706055,6.400000095367432,375,0.0,0.0
2001-07-16 00:00:00-04:00,6.71999979019165,6.71999979019165,6.159999847412109,6.159999847412109,863,0.0,0.0
2001-07-17 00:00:00-04:00,6.159999847412109,6.71999979019165,6.159999847412109,6.71999979019165,113,0.0,0.0
2001-07-18 00:00:00-04:00,6.400000095367432,6.71999979019165,6.079999923706055,6.079999923706055,950,0.0,0.0
2001-07-19 00:00:00-04:00,6.159999847412109,6.400000095367432,6.159999847412109,6.159999847412109,575,0.0,0.0
2001-07-20 00:00:00-04:00,6.159999847412109,6.159999847412109,6.159999847412109,6.159999847412109,0,0.0,0.0
2001-07-23 00:00:00-04:00,6.159999847412109,6.159999847412109,6.079999923706055,6.159999847412109,138,0.0,0.0
2001-07-24 00:00:00-04:00,6.159999847412109,6.71999979019165,6.159999847412109,6.71999979019165,213,0.0,0.0
2001-07-25 00:00:00-04:00,6.71999979019165,6.71999979019165,6.71999979019165,6.71999979019165,25,0.0,0.0
2001-07-26 00:00:00-04:00,6.239999771118164,6.639999866485596,6.239999771118164,6.639999866485596,375,0.0,0.0
2001-07-27 00:00:00-04:00,6.079999923706055,6.079999923706055,6.079999923706055,6.079999923706055,150,0.0,0.0
2001-07-30 00:00:00-04:00,6.0,6.0,5.920000076293945,6.0,700,0.0,0.0
2001-07-31 00:00:00-04:00,6.0,6.320000171661377,6.0,6.0,1200,0.0,0.0
2001-08-01 00:00:00-04:00,6.239999771118164,6.239999771118164,6.239999771118164,6.239999771118164,63,0.0,0.0
2001-08-02 00:00:00-04:00,6.239999771118164,6.639999866485596,6.239999771118164,6.239999771118164,100,0.0,0.0
2001-08-03 00:00:00-04:00,6.71999979019165,6.71999979019165,6.71999979019165,6.71999979019165,250,0.0,0.0
2001-08-06 00:00:00-04:00,6.800000190734863,6.800000190734863,5.440000057220459,6.079999923706055,2163,0.0,0.0
2001-08-07 00:00:00-04:00,6.079999923706055,6.400000095367432,6.079999923706055,6.400000095367432,425,0.0,0.0
2001-08-08 00:00:00-04:00,6.71999979019165,6.71999979019165,5.360000133514404,6.0,2125,0.0,0.0
2001-08-09 00:00:00-04:00,6.0,6.320000171661377,6.0,6.239999771118164,213,0.0,0.0
2001-08-10 00:00:00-04:00,6.239999771118164,6.239999771118164,4.960000038146973,5.599999904632568,738,0.0,0.0
2001-08-13 00:00:00-04:00,5.599999904632568,5.920000076293945,5.599999904632568,5.920000076293945,488,0.0,0.0
2001-08-14 00:00:00-04:00,5.920000076293945,5.920000076293945,5.920000076293945,5.920000076293945,125,0.0,0.0
2001-08-15 00:00:00-04:00,5.920000076293945,5.920000076293945,5.920000076293945,5.920000076293945,75,0.0,0.0
2001-08-16 00:00:00-04:00,6.0,6.0,5.760000228881836,5.760000228881836,2213,0.0,0.0
2001-08-17 00:00:00-04:00,5.760000228881836,5.760000228881836,4.159999847412109,4.960000038146973,3763,0.0,0.0
2001-08-20 00:00:00-04:00,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,150,0.0,0.0
2001-08-21 00:00:00-04:00,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,788,0.0,0.0
2001-08-22 00:00:00-04:00,5.199999809265137,6.320000171661377,5.199999809265137,5.360000133514404,513,0.0,0.0
2001-08-23 00:00:00-04:00,5.360000133514404,5.360000133514404,5.360000133514404,5.360000133514404,0,0.0,0.0
2001-08-24 00:00:00-04:00,5.599999904632568,5.599999904632568,5.599999904632568,5.599999904632568,188,0.0,0.0
2001-08-27 00:00:00-04:00,5.599999904632568,5.599999904632568,5.519999980926514,5.519999980926514,138,0.0,0.0
2001-08-28 00:00:00-04:00,5.519999980926514,5.519999980926514,5.119999885559082,5.119999885559082,88,0.0,0.0
2001-08-29 00:00:00-04:00,4.880000114440918,4.880000114440918,4.880000114440918,4.880000114440918,25,0.0,0.0
2001-08-30 00:00:00-04:00,5.519999980926514,5.599999904632568,5.119999885559082,5.119999885559082,313,0.0,0.0
2001-08-31 00:00:00-04:00,5.119999885559082,5.119999885559082,5.119999885559082,5.119999885559082,50,0.0,0.0
2001-09-04 00:00:00-04:00,5.199999809265137,5.599999904632568,5.119999885559082,5.599999904632568,300,0.0,0.0
2001-09-05 00:00:00-04:00,5.28000020980835,5.28000020980835,4.800000190734863,4.800000190734863,263,0.0,0.0
2001-09-06 00:00:00-04:00,4.800000190734863,4.800000190734863,4.71999979019165,4.71999979019165,113,0.0,0.0
2001-09-07 00:00:00-04:00,4.480000019073486,5.119999885559082,4.0,5.119999885559082,2600,0.0,0.0
2001-09-10 00:00:00-04:00,3.759999990463257,5.119999885559082,3.5999999046325684,5.119999885559082,1063,0.0,0.0
2001-09-17 00:00:00-04:00,3.5999999046325684,4.71999979019165,3.359999895095825,4.71999979019165,1688,0.0,0.0
2001-09-18 00:00:00-04:00,4.960000038146973,5.199999809265137,4.0,4.0,500,0.0,0.0
2001-09-19 00:00:00-04:00,4.0,4.0,3.5199999809265137,3.8399999141693115,3638,0.0,0.0
2001-09-20 00:00:00-04:00,3.5199999809265137,3.5199999809265137,3.5199999809265137,3.5199999809265137,163,0.0,0.0
2001-09-21 00:00:00-04:00,3.200000047683716,3.759999990463257,2.799999952316284,3.759999990463257,1613,0.0,0.0
2001-09-24 00:00:00-04:00,3.200000047683716,4.0,3.200000047683716,4.0,625,0.0,0.0
2001-09-25 00:00:00-04:00,3.759999990463257,4.0,3.200000047683716,3.5999999046325684,563,0.0,0.0
2001-09-26 00:00:00-04:00,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,0,0.0,0.0
2001-09-27 00:00:00-04:00,3.440000057220459,4.0,3.440000057220459,4.0,75,0.0,0.0
2001-09-28 00:00:00-04:00,3.2799999713897705,4.0,3.200000047683716,4.0,2600,0.0,0.0
